,Bortezomib,Lenalidomide,Panobinostat,Vorinostat,Romidepsin,Venetoclax,Dinaciclib,Palbociclib,Doxorubicin,Etoposide
Bortezomib,1.0,0.867,0.803,0.803,0.803,0.834,0.834,0.853,0.82,0.82
Lenalidomide,0.867,1.0,0.856,0.856,0.856,0.818,0.871,0.884,0.853,0.853
Panobinostat,0.803,0.856,1.0,1.0,1.0,0.82,0.9,0.92,0.869,0.869
Vorinostat,0.803,0.856,1.0,1.0,1.0,0.82,0.9,0.92,0.869,0.869
Romidepsin,0.803,0.856,1.0,1.0,1.0,0.82,0.9,0.92,0.869,0.869
Venetoclax,0.834,0.818,0.82,0.82,0.82,1.0,0.771,0.866,0.77,0.77
Dinaciclib,0.834,0.871,0.9,0.9,0.9,0.771,1.0,0.9,0.881,0.881
Palbociclib,0.853,0.884,0.92,0.92,0.92,0.866,0.9,1.0,0.923,0.923
Doxorubicin,0.82,0.853,0.869,0.869,0.869,0.77,0.881,0.923,1.0,1.0
Etoposide,0.82,0.853,0.869,0.869,0.869,0.77,0.881,0.923,1.0,1.0
