drug,seed_gene,in_graph,top_10,mean_chronos_top_k,mean_chronos_random,p_value_raw,p_bonferroni,hub_TP53_rank,hub_MYC_rank,hub_AKT1_rank
Bortezomib,PSMB5,True,PSMB5; PSMD4; PSMA1; PSMA4; PSMA5; PSMA7; PSMA6; PSMB1; PSMB3; PSMA2,-1.3399495489663247,-0.14507288154781459,9.170618824185953e-39,9.170618824185953e-38,91,306,326
Lenalidomide,CRBN,True,CRBN; RBX1; DDB1; CUL4A; CUL4B; DDB2; DCAF11; DCAF4; ERCC8; DET1,-0.5092910136440982,-0.14895053467367247,0.20191350925207396,1.0,64,92,130
Panobinostat,HDAC1,True,HDAC1; HDAC2; TP53; H3C12; H3C13; EP300; H4C6; RBBP4; KDM1A; H3-3B,-0.29161086513147944,-0.14633843424826137,0.34562923399433065,1.0,3,17,84
Vorinostat,HDAC1,True,HDAC1; HDAC2; TP53; H3C12; H3C13; EP300; H4C6; RBBP4; KDM1A; H3-3B,-0.29161086513147944,-0.14440426818673055,0.3252524247184399,1.0,3,17,84
Romidepsin,HDAC1,True,HDAC1; HDAC2; TP53; H3C12; H3C13; EP300; H4C6; RBBP4; KDM1A; H3-3B,-0.29161086513147944,-0.14700901447331083,0.3431063933164763,1.0,3,17,84
Venetoclax,BCL2,True,BCL2; BCL2L1; TP53; AKT1; BID; CASP3; CYCS; BECN1; BCL2L11; BAX,-0.24325397448117314,-0.14427951541033973,0.8919541510912488,1.0,3,24,4
Dinaciclib,CDK9,True,CDK9; CCNT1; CCNT2; POLR2A; SUPT5H; AFF4; SUPT4H1; CDC73; CTR9; MLLT3,-0.6560791896946102,-0.1471056304990637,1.555279444907395e-19,1.555279444907395e-18,42,66,265
Palbociclib,CDK6,True,CDK6; CDK2; CDK4; CDKN1A; CCND1; CCNA2; TP53; CDKN1B; E2F1; CCNL2,-0.5131306822487015,-0.14773994161615986,0.08625271287243375,0.8625271287243375,7,23,78
Doxorubicin,TOP2A,True,TOP2A; CDK1; CCNA2; BUB1B; BUB1; CDC20; CCNB1; KIF11; PLK1; DLGAP5,-1.0364067096573841,-0.14463983992668317,1.1960318276682354e-31,1.1960318276682354e-30,50,189,381
Etoposide,TOP2A,True,TOP2A; CDK1; CCNA2; BUB1B; BUB1; CDC20; CCNB1; KIF11; PLK1; DLGAP5,-1.0364067096573841,-0.14815054830279029,2.6747835272279233e-31,2.6747835272279233e-30,50,189,381
Cyclophosphamide,DNA,False,,,,,,N/A,N/A,N/A
