2026-04-11 00:09:53 | INFO    | resistancemap | Logging to logs/pipeline.log
2026-04-11 00:09:53 | WARNING | resistancemap | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-04-11 00:09:53 | INFO    | resistancemap | === Sequential stage: data_validate ===
2026-04-11 00:09:53 | INFO    | resistancemap | >>> STAGE START: data_validate
2026-04-11 00:16:43 | INFO    | resistancemap | Logging to logs/pipeline.log
2026-04-11 00:16:44 | WARNING | resistancemap | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-04-11 00:16:44 | INFO    | resistancemap | === Sequential stage: data_validate ===
2026-04-11 00:16:44 | INFO    | resistancemap | >>> STAGE START: data_validate
2026-04-11 00:16:44 | INFO    | resistancemap | <<< STAGE END: data_validate (0.0 min)
2026-04-11 00:16:44 | INFO    | resistancemap | === Sequential stage: data_prep ===
2026-04-11 00:16:45 | INFO    | resistancemap | >>> STAGE START: data_prep
2026-04-11 00:16:45 | INFO    | resistancemap.data.loaders | Loading CCLE proteomics from data/raw/ccle_proteomics.csv
2026-04-11 00:16:52 | INFO    | resistancemap.data.loaders | Loaded proteomics: 1393 cell lines, 19177 proteins
2026-04-11 00:16:52 | INFO    | resistancemap.data.loaders | After coverage filter (70%): 19177 proteins retained
2026-04-11 00:16:52 | INFO    | resistancemap.data.loaders | Loading CCLE epigenomics from data/raw/ccle_epigenomics
2026-04-11 00:19:01 | INFO    | resistancemap | Logging to logs/pipeline.log
2026-04-11 00:19:01 | WARNING | resistancemap | W&B init failed (continuing without): No API key configured. Use `wandb login` to log in.
2026-04-11 00:19:01 | INFO    | resistancemap | === Sequential stage: data_validate ===
2026-04-11 00:19:01 | INFO    | resistancemap | >>> STAGE START: data_validate
2026-04-11 00:19:01 | INFO    | resistancemap | <<< STAGE END: data_validate (0.0 min)
2026-04-11 00:19:01 | INFO    | resistancemap | === Sequential stage: data_prep ===
2026-04-11 00:19:02 | INFO    | resistancemap | >>> STAGE START: data_prep
2026-04-11 00:19:02 | INFO    | resistancemap.data.loaders | Loading CCLE proteomics from data/raw/ccle_proteomics.csv
2026-04-11 00:19:10 | INFO    | resistancemap.data.loaders | Loaded proteomics: 1393 cell lines, 19177 proteins
2026-04-11 00:19:10 | INFO    | resistancemap.data.loaders | After coverage filter (70%): 19177 proteins retained
2026-04-11 00:19:10 | INFO    | resistancemap.data.loaders | Loading CCLE epigenomics from data/raw/ccle_epigenomics
2026-04-11 00:19:10 | INFO    | resistancemap.data.loaders |   chromatin_profiling: 897 lines, 42 features
2026-04-11 00:19:10 | INFO    | resistancemap.data.loaders | Loading STRING PPI network from data/raw/string_ppi.txt
2026-04-11 00:19:48 | INFO    | resistancemap.data.loaders |   STRING scores on 0-1000 scale — normalizing to 0-1
2026-04-11 00:19:49 | INFO    | resistancemap.data.loaders | PPI edges after confidence filter (>=0.7): 473860
