method,c_index,s1_del17p,s2_t414,s3_1q21,s4_t1114,s5_other,auroc_12mo,auroc_24mo,boot_delta_mean,boot_ci_low,boot_ci_high,boot_p_two_sided,delong_z,delong_p,bonferroni_survive
Cox_v11_richer_baseline,0.6538,0.6984,0.5863,0.6880,0.5205,0.6207,0.7123,0.6650,,,,,,,reference
DModel,0.6955,0.7296,0.6669,0.6943,0.6426,0.6589,0.7505,0.7110,,,,,,,reference
mmSYGNAL_routed,0.6938,0.7045,0.7219,0.6637,0.6926,0.6824,0.7153,0.7099,,,,,,,reference
PCA_K29_plus_v11,0.6754,0.7197,0.6285,0.7024,0.5461,0.6468,,,+0.02173,+0.00049,+0.04334,0.0450,2.040,0.0413,False
ICA_K29_plus_v11,0.6754,0.7214,0.6279,0.7008,0.5450,0.6470,,,+0.02170,+0.00028,+0.04336,0.0474,2.035,0.0419,False
MOFAplus_K29_plus_v11,0.6751,0.7123,0.6260,0.6809,0.5782,0.6559,,,+0.02139,+0.00049,+0.04253,0.0456,2.036,0.0417,False
JIVEjoint_K29_plus_v11,0.6751,0.7236,0.6189,0.7070,0.5638,0.6409,,,+0.02137,+0.00165,+0.04183,0.0344,2.173,0.0298,False
BlockCCA_exprv11_plus_v11,0.6737,0.7205,0.6049,0.7143,0.5683,0.6401,,,+0.01995,+0.00172,+0.03883,0.0348,2.154,0.0313,False
KernelPCA_rbf_K29_plus_v11,0.6738,0.7210,0.6234,0.6964,0.5383,0.6505,,,+0.02005,-0.00216,+0.04270,0.0766,1.824,0.0681,False
NMF_K29_plus_v11,0.6711,0.7093,0.6240,0.6993,0.5483,0.6506,,,+0.01743,-0.00390,+0.03906,0.1122,1.628,0.1034,False
SparsePCA_K29_plus_v11,0.6726,0.7192,0.6074,0.6911,0.5461,0.6490,,,+0.01885,-0.00176,+0.03987,0.0742,1.871,0.0614,False
