drug_name,spearman_scratch,p_scratch,mse_scratch,n_scratch,spearman_init_a,p_init_a,mse_init_a,n_init_a,delta_init_a_minus_scratch,drug_family
Imatinib,0.0261253190238347,0.6425576244778245,53829.9609375,318,0.116233002995334,0.0383031753289095,53622.33984375,318,0.09010768397149929,
Sorafenib,0.1324340873767607,0.0188882715919978,40505.73828125,314,0.1146170060999703,0.0423960250749387,40328.625,314,-0.01781708127679041,
Crizotinib (PF-2341066),-0.0201255038685567,0.7232667276612069,42044.51953125,312,0.0729992547165652,0.198455370241662,41861.4609375,312,0.0931247585851219,
Erlotinib,0.1803824791138893,0.0014006649878466,53175.9140625,311,0.2026909529160398,0.0003212745968185,52968.734375,311,0.022308473802150508,
Sunitinib,0.1315956423682957,0.0202612786778062,42810.1015625,311,0.0996845102438918,0.0792163819379332,42627.0390625,311,-0.03191113212440391,
Dasatinib,0.0381872767322406,0.502237747800477,33987.84375,311,-0.05734348283652,0.3134444219730865,33829.17578125,311,-0.0955307595687606,
Vandetanib (ZD6474),0.0346516895845153,0.543304314333028,52858.29296875,310,0.0514713316607935,0.3664281862594991,52653.3125,310,0.016819642076278202,
Pazopanib (GW786034),0.1340538401851277,0.0187811190484177,48869.94140625,307,0.0829741977058584,0.1469478735234332,48673.03515625,307,-0.0510796424792693,
Gefitinib,0.0619370737812347,0.2793248679400814,58300.41796875,307,0.0256010434763006,0.6550123072892602,58083.08984375,307,-0.0363360303049341,
Lapatinib,-0.0839469425263239,0.1422508282701042,54467.421875,307,0.0667137045664091,0.2438373071380028,54257.66015625,307,0.150660647092733,
Axitinib (AG-013736),0.0052349716797643,0.9273333217303592,39985.51171875,306,-0.0347949127420622,0.544279060209409,39808.4453125,306,-0.0400298844218265,
Rapamycin,0.0036644169699843,0.949098434487382,33031.4453125,306,-0.0550293206940787,0.3373535245020448,32873.94140625,306,-0.058693737664062995,
Nilotinib,-0.0379881607227998,0.5100495024640596,55163.4140625,303,-0.1493881623774997,0.0092071400612675,54952.73828125,303,-0.11140000165469989,
Trametinib (GSK1120212),0.1151951954378567,0.046569158542904,22703.666015625,299,-0.2085505891960244,0.0002822401505053,22580.23828125,299,-0.3237457846338811,
Ruxolitinib (INCB018424),-0.062810907348303,0.2806035015304542,55760.17578125,297,-0.0886547746927974,0.127406580439885,55547.984375,297,-0.025843867344494398,
Bortezomib (Velcade),-0.0225341105290355,0.7003986531857029,28863.2109375,294,-0.0915602507915948,0.1172233118426163,28717.646484375,294,-0.0690261402625593,proteasome_inhibitor
A-674563,0.0228371753692266,0.6970621747160207,24579.30859375,293,-0.0231730475418815,0.6928309534349083,24443.79296875,293,-0.046010222911108095,
YM-155,-0.0833082160129147,0.1549145201581546,60667.91796875,293,-0.0493721197434446,0.39977918801655,60446.47265625,293,0.033936096269470105,
LY-333531,0.1406600069867135,0.0159783326604261,45661.6953125,293,0.1388870534876571,0.0173718831091903,45470.203125,293,-0.001772953499056401,
INK-128,0.1624235699754594,0.0054010444924394,19363.28125,292,-0.0059788459374156,0.9189715825370433,19245.9921875,292,-0.168402415912875,
SNS-032 (BMS-387032),-0.0669254871500924,0.2542877758634138,12765.7685546875,292,-0.1975373680884042,0.0006874129403958,12669.69140625,292,-0.13061188093831178,
JNJ-7706621,-0.0041128188678759,0.944210592753244,55896.1640625,292,-0.0034320103589316,0.953434124380806,55683.26171875,292,0.0006808085089443005,
PD173955,0.0369609163575965,0.529287285581091,42153.34765625,292,-0.0850236169632469,0.1472599940463088,41974.2265625,292,-0.12198453332084339,
Roscovitine (CYC-202),0.0504619602579193,0.3902615001893339,65910.25,292,0.0806443275234502,0.1693238987845685,65679.46875,292,0.030182367265530904,
BMS-345541,0.0091018228846772,0.8771363548345412,53513.71875,291,0.0360603431672589,0.5400779780068207,53305.46484375,291,0.0269585202825817,
SB-431542,-0.1172604276708868,0.0456512655969532,58675.55859375,291,0.0737977685236916,0.209409988248268,58459.4375,291,0.19105819619457842,
VX-745,-0.017271089041361,0.7692343679052003,39059.203125,291,-0.0426247873587863,0.4688667889913931,38884.84375,291,-0.025353698317425295,
Tofacitinib (CP-690550),-0.0010640423211267,0.9855805505462036,47785.9453125,291,-0.0310177047497548,0.5982131314101236,47590.8671875,291,-0.0299536624286281,
Ponatinib (AP24534),0.0982519370643219,0.0949219822782151,24237.919921875,290,-0.0584358377802772,0.3213554767422293,24104.873046875,290,-0.15668777484459911,
Alisertib (MLN8237),0.0239486545334278,0.6846487294682476,54396.0703125,290,0.0626648153145992,0.2875189694847505,54187.1015625,290,0.038716160781171405,
CI-1040 (PD184352),0.0730720164869754,0.2147326879382465,38633.08984375,290,-0.1909516918743025,0.0010836148468489,38460.0234375,290,-0.26402370836127786,
Afatinib (BIBW-2992),0.0494203321233884,0.4017636375056798,31756.14453125,290,0.0021014657120608,0.9715756717522234,31598.287109375,290,-0.0473188664113276,
STO609,-0.0460384736373065,0.4347818357586527,65899.46875,290,0.1732197221304222,0.0030814931947348,65667.65625,290,0.2192581957677287,
Bosutinib (SKI-606),0.0941920304558183,0.1100698632141301,42966.95703125,289,0.0496846099264075,0.4000692058025023,42783.4609375,289,-0.0445074205294108,
Tozasertib (VX-680),0.0722121361383485,0.220995835902034,47205.86328125,289,0.0545906687942535,0.3551172571354634,47011.9921875,289,-0.017621467344094997,
PHA-665752,0.0427224895066765,0.4693942000464907,48440.68359375,289,0.157680311370211,0.0072362943756887,48244.25,289,0.11495782186353448,
PP242,0.0780619951455176,0.1857280657248694,22328.09765625,289,-0.0534858510464177,0.364953057225403,22199.958984375,289,-0.1315478461919353,
PI-103,0.0429704643154241,0.4668167376347135,21302.224609375,289,0.0420072500352476,0.4768720967996688,21177.220703125,289,-0.000963214280176504,
Linifanib (ABT-869),0.1142711170621227,0.0527256231348705,42643.578125,288,-0.1418861274651776,0.0159692071356013,42462.37109375,288,-0.25615724452730027,
Vatalanib (PTK787),0.0848378912875278,0.1509808406189919,49325.609375,288,0.1093515346017564,0.0638468664235977,49127.7109375,288,0.02451364331422859,
Motesanib (AMG-706),0.0907969685749188,0.1242072517021652,54643.40234375,288,-0.077495831293696,0.189722220557651,54435.8828125,288,-0.16829279986861478,
Neratinib (HKI-272),0.09843407752338,0.0954611041021942,29096.876953125,288,0.03607801195677,0.5419942947072898,28948.0,288,-0.062356065566610004,
Flavopiridol,-0.0139445751051529,0.8137201240134936,21481.822265625,288,-0.1238610545230734,0.0356456227326345,21359.865234375,288,-0.1099164794179205,
Canertinib (CI-1033),0.0889587048130204,0.1320411982643999,49235.71875,288,0.1633377167859596,0.005460007233068,49037.66796875,288,0.0743790119729392,
Dovitinib (CHIR-258),0.1857832552132326,0.0015415358077582,26978.65625,288,0.1225692214815122,0.0376295680660924,26836.6171875,288,-0.06321403373172041,
JAK Inhibitor I,0.0575560999667572,0.3303949813018099,31905.017578125,288,-0.0392639417511297,0.5068891794425727,31748.66015625,288,-0.0968200417178869,
Barasertib (AZD1152-HQPA),-0.0182364239689766,0.7579590070016824,48722.72265625,288,0.1607948035553379,0.0062431867615506,48526.640625,288,0.1790312275243145,
Pelitinib (EKB-569),0.0280496977678951,0.6360624154605687,27839.353515625,287,0.0524790649993438,0.3757348379939741,27693.08984375,287,0.0244293672314487,
Vargetef,0.066519278093142,0.2613379016868633,36905.32421875,287,0.0440447694029233,0.4573181623785115,36737.24609375,287,-0.022474508690218692,
Selumetinib (AZD6244),0.0960280891688958,0.104488290232084,43789.87890625,287,-0.251366615642603,1.6382769309290127e-05,43608.953125,287,-0.3473947048114988,
JNJ-38877605,-0.0441065820019583,0.4566863902581365,57461.9453125,287,0.0763249310298928,0.1973060570877137,57246.328125,287,0.1204315130318511,
Cediranib (AZD2171),0.1089637439276754,0.0652707460922531,62637.44140625,287,-0.0518443373513326,0.3815443214109152,62412.81640625,287,-0.160808081279008,
Doramapimod (BIRB 796),-0.1069630542976011,0.0703958622328442,32618.21875,287,-0.1586084821854816,0.0070953619864941,32462.2578125,287,-0.0516454278878805,
MLN8054,-0.0777623273209254,0.1889747622642882,63125.0234375,287,-0.0079226909461444,0.8936910154061568,62898.7578125,287,0.06983963637478101,
CHIR-99021,-0.0065026809204009,0.9126609459905858,71430.2890625,287,0.1390984509499945,0.0183902407598808,71189.5,287,0.14560113187039542,
CYT387,0.0088148695910736,0.881802564186233,33884.48046875,287,-0.0270118943707398,0.6486081729827681,33722.49609375,287,-0.035826763961813404,
Foretinib (XL880),0.1922439809540899,0.0010852765159985,19756.748046875,286,-0.0316135928343819,0.5944309329204166,19638.265625,286,-0.2238575737884718,
BEZ235,0.0301103338536518,0.612086840627273,27035.408203125,286,0.0308133734934723,0.6038008096397147,26893.482421875,286,0.0007030396398204977,
