drug_name,spearman_scratch,p_scratch,mse_scratch,n_scratch,spearman_init_a,p_init_a,mse_init_a,n_init_a,delta_init_a_minus_scratch,drug_family
Imatinib,0.1222805795907501,0.0292444260379286,53590.40234375,318,0.1129188161614894,0.0442050634258252,53470.69140625,318,-0.009361763429260705,
Sorafenib,0.0828552056269234,0.1429584904544315,40301.38671875,314,0.1852182686585547,0.0009752750888544,40199.29296875,314,0.1023630630316313,
Crizotinib (PF-2341066),0.1045600625467277,0.0651037736253725,41833.30859375,312,0.2304828637767164,3.951955850728365e-05,41727.7890625,312,0.1259228012299887,
Erlotinib,0.0409515705386501,0.4717819915182412,52936.8671875,311,0.1335301164199665,0.0184775647247637,52817.421875,311,0.09257854588131641,
Sunitinib,0.0967689623148564,0.0884431581547426,42598.8828125,311,0.1969413980233487,0.000476932536296,42493.35546875,311,0.1001724357084923,
Dasatinib,-0.0665761543044699,0.2417375760738932,33804.76953125,311,0.0897603745718069,0.1141623640977684,33713.33203125,311,0.1563365288762768,
Vandetanib (ZD6474),0.0283444984538176,0.6190901691982026,52621.7734375,310,0.1257844534661192,0.0267930522037031,52503.5859375,310,0.09743995501230159,
Pazopanib (GW786034),0.0399376775396471,0.485684963474399,48642.74609375,307,0.0549809023814591,0.3369848116175256,48529.23046875,307,0.015043224841811996,
Gefitinib,0.0387256140071509,0.4990322161128153,58049.65625,307,0.0304417159340222,0.5951906166853224,57924.33984375,307,-0.008283898073128702,
Lapatinib,0.0296625120182869,0.6046515480318168,54225.39453125,307,0.1866498808992053,0.0010163809115948,54104.45703125,307,0.1569873688809184,
Axitinib (AG-013736),-0.0635593730548592,0.2676866747236233,39781.203125,306,0.105477282962569,0.0653741613555642,39679.14453125,306,0.1690366560174282,
Rapamycin,-0.0982820318260174,0.0860971341146467,32849.71484375,306,0.1204206670572077,0.0352436346842355,32758.955078125,306,0.2187026988832251,
