edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note
2.1.1.320::4701::ppi,0.34375,0.28125,0.4375,0.15625,
2B6H::1HUR::ppi,0.34375,0.25,0.375,0.125,
2.1.1.320::51079::ppi,0.34375,0.28125,0.40625,0.125,
1N1A::23239::ppi,0.34375,0.28125,0.375,0.09375,
2B6H::2D1X::ppi,0.34375,0.3125,0.40625,0.09375,
1N1A::1HDJ::ppi,0.34375,0.3125,0.40625,0.09375,
1N1A::1BYQ::ppi,0.34375,0.28125,0.375,0.09375,
1N1A::3306::ppi,0.34375,0.3125,0.40625,0.09375,
1080::5172::ppi,0.34375,0.3125,0.40625,0.09375,
1080::5'-AMP-activated protein kinase subunit gamma-3::ppi,0.34375,0.3125,0.40625,0.09375,
1080::2EEI::ppi,0.34375,0.3125,0.40625,0.09375,
1ZRH::26035::ppi,0.34375,0.34375,0.4375,0.09375,
1.14.13.-::1.14.14.1::ppi,0.34375,0.34375,0.4375,0.09375,
2.1.1.320::25880::ppi,0.34375,0.28125,0.375,0.09375,
1N1A::1M2Z::ppi,0.34375,0.28125,0.375,0.09375,
2.1.1.320::1.3.8.-::ppi,0.34375,0.28125,0.34375,0.0625,
1N1A::2QAB::ppi,0.34375,0.28125,0.34375,0.0625,
1N1A::10540::ppi,0.34375,0.3125,0.375,0.0625,
1N1A::2LDU::ppi,0.34375,0.34375,0.40625,0.0625,
2B6H::1I49::ppi,0.34375,0.34375,0.40625,0.0625,
1080::3.4.-.-::ppi,0.34375,0.34375,0.40625,0.0625,
6405::2QQJ::ppi,0.34375,0.3125,0.375,0.0625,
1080::2.7.11.11::ppi,0.34375,0.28125,0.34375,0.0625,
1080::115019::ppi,0.34375,0.34375,0.40625,0.0625,
1.14.13.-::1.1.1.300::ppi,0.34375,0.34375,0.40625,0.0625,
"1.14.13.-::1,4-cineole 2-exo-monooxygenase::ppi",0.34375,0.3125,0.375,0.0625,
2.1.1.320::25915::ppi,0.34375,0.3125,0.375,0.0625,
2.1.1.320::4705::ppi,0.34375,0.28125,0.34375,0.0625,
1080::14-3-3 protein beta/alpha::ppi,0.34375,0.34375,0.40625,0.0625,
1080::5GLF::ppi,0.34375,0.3125,0.375,0.0625,
1080::116369::ppi,0.34375,0.28125,0.34375,0.0625,
2B6H::9276::ppi,0.34375,0.28125,0.34375,0.0625,
1080::2D11::ppi,0.34375,0.3125,0.375,0.0625,
1080::6558::ppi,0.34375,0.375,0.4375,0.0625,
1080::1G9O::ppi,0.34375,0.34375,0.40625,0.0625,
1080::28 kDa heat shock protein::ppi,0.34375,0.28125,0.34375,0.0625,
1N1A::1AUE::ppi,0.34375,0.34375,0.375,0.03125,
2B6H::92344::ppi,0.34375,0.375,0.40625,0.03125,
2B6H::3JUE::ppi,0.34375,0.34375,0.375,0.03125,
1.14.13.-::1381::ppi,0.34375,0.3125,0.34375,0.03125,
1.14.13.-::1.2.1.-::ppi,0.34375,0.34375,0.375,0.03125,
"1.14.13.-::1,4-cineole 2-exo-monooxygenase::ppi",0.34375,0.34375,0.375,0.03125,
2.1.1.320::1.6.99.3::ppi,0.34375,0.28125,0.3125,0.03125,
1080::2DC2::ppi,0.34375,0.375,0.40625,0.03125,
1080::821::ppi,0.34375,0.3125,0.34375,0.03125,
2.1.1.320::51295::ppi,0.34375,0.3125,0.34375,0.03125,
2.1.1.320::51103::ppi,0.34375,0.3125,0.34375,0.03125,
2.1.1.320::80224::ppi,0.34375,0.3125,0.34375,0.03125,
1JUQ::10226::ppi,0.34375,0.3125,0.34375,0.03125,
