edge_id,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,source_uniprot,target_uniprot,delta,abs_delta,is_top_decile,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_support,refusal_reason
2.1.1.320::4701::ppi,2.1.1.320,4701,ppi,NDUFAF7,NDUFA7,Q7L592,O95182,0.15625,0.15625,True,-0.1941840095927414,0.0182648401826484,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::1HUR::ppi,2B6H,1HUR,ppi,ARF5,ARF1,P26437,P10947,0.125,0.125,True,-0.3305972888937499,0.2894977168949771,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::51079::ppi,2.1.1.320,51079,ppi,NDUFAF7,NDUFA13,Q7L592,B4DF76,0.125,0.125,True,-0.4660237454071528,0.421917808219178,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::23239::ppi,1N1A,23239,ppi,FKBP4,PHLPP1,D3DUQ1,A1A4F5,0.09375,0.09375,True,0.0828832187200544,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::2D1X::ppi,2B6H,2D1X,ppi,ARF5,CTTN,P26437,Q14247,0.09375,0.09375,True,-0.1605343897128135,0.0255707762557077,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::1HDJ::ppi,1N1A,1HDJ,ppi,FKBP4,DNAJB1,D3DUQ1,B4DX52,0.09375,0.09375,True,-0.1273380209349984,0.0127853881278538,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::1BYQ::ppi,1N1A,1BYQ,ppi,FKBP4,HSP90AA1,D3DUQ1,A8K500,0.09375,0.09375,True,-0.2983479945631918,0.1013698630136986,False,True,downstream_gene_not_common_essential
1N1A::3306::ppi,1N1A,3306,ppi,FKBP4,HSPA2,D3DUQ1,P54652,0.09375,0.09375,True,0.0037356661946151,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::5172::ppi,1080,5172,ppi,CFTR,SLC26A4,P13569,B7Z266,0.09375,0.09375,True,-0.0720728029202912,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::5'-AMP-activated protein kinase subunit gamma-3::ppi,1080,5'-AMP-activated protein kinase subunit gamma-3,ppi,CFTR,PRKAG3,P13569,Q4QQG8,0.09375,0.09375,True,0.0019623350826542,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2EEI::ppi,1080,2EEI,ppi,CFTR,PDZK1,P13569,B4DPB9,0.09375,0.09375,True,-0.3065745498325861,0.1068493150684931,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1ZRH::26035::ppi,1ZRH,26035,ppi,HS3ST1,GLCE,B3KUA6,O94923,0.09375,0.09375,True,-0.0110518293431447,0.0027397260273972,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.14.14.1::ppi,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,B2R8M7,B7Z8Z3,0.09375,0.09375,True,0.0475201816635451,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::25880::ppi,2.1.1.320,25880,ppi,NDUFAF7,TMEM186,Q7L592,B2RAY0,0.09375,0.09375,True,-0.0394951103642771,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::1M2Z::ppi,1N1A,1M2Z,ppi,FKBP4,NR3C1,D3DUQ1,A0ZXF9,0.09375,0.09375,True,0.0085602547028447,0.0045662100456621,False,True,downstream_gene_not_common_essential
2.1.1.320::1.3.8.-::ppi,2.1.1.320,1.3.8.-,ppi,NDUFAF7,ACAD11,Q7L592,Q08AF0,0.0625,0.0625,False,0.0426804390995476,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::2QAB::ppi,1N1A,2QAB,ppi,FKBP4,ESR1,D3DUQ1,P03372,0.0625,0.0625,False,-0.05581580215062,0.0118721461187214,False,True,downstream_gene_not_common_essential
1N1A::10540::ppi,1N1A,10540,ppi,FKBP4,DCTN2,D3DUQ1,B2RBK5,0.0625,0.0625,False,-0.9222419268919012,0.9662100456621004,True,False,no_drug_target_evidence
1N1A::2LDU::ppi,1N1A,2LDU,ppi,FKBP4,HSF1,D3DUQ1,A8K4L0,0.0625,0.0625,False,-0.4341384595732335,0.3908675799086758,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::1I49::ppi,2B6H,1I49,ppi,ARF5,ARFIP2,P26437,B4DX86,0.0625,0.0625,False,0.1129258957480158,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3.4.-.-::ppi,1080,3.4.-.-,ppi,CFTR,PRSS16,P13569,O75416,0.0625,0.0625,False,-0.0234292196505102,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
6405::2QQJ::ppi,6405,2QQJ,ppi,SEMA3F,NRP2,C9JQ85,A0A024R3W6,0.0625,0.0625,False,0.0082219083908187,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2.7.11.11::ppi,1080,2.7.11.11,ppi,CFTR,PRKX,P13569,P51817,0.0625,0.0625,False,0.0741980818806826,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::115019::ppi,1080,115019,ppi,CFTR,SLC26A9,P13569,A7E2V6,0.0625,0.0625,False,0.0111762963051847,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.1.1.300::ppi,1.14.13.-,1.1.1.300,ppi,CYP26B1,RDH10,B2R8M7,Q8IZV5,0.0625,0.0625,False,-0.1159504424800995,0.0118721461187214,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
"1.14.13.-::1,4-cineole 2-exo-monooxygenase::ppi",1.14.13.-,"1,4-cineole 2-exo-monooxygenase",ppi,CYP26B1,CYP2A6,B2R8M7,A7YAE5,0.0625,0.0625,False,0.068903310226219,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::25915::ppi,2.1.1.320,25915,ppi,NDUFAF7,NDUFAF3,Q7L592,Q9BU61,0.0625,0.0625,False,-0.3605991005149114,0.2757990867579908,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::4705::ppi,2.1.1.320,4705,ppi,NDUFAF7,NDUFA10,Q7L592,O95299,0.0625,0.0625,False,-0.2134982359001656,0.1579908675799086,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::14-3-3 protein beta/alpha::ppi,1080,14-3-3 protein beta/alpha,ppi,CFTR,YWHAB,P13569,A8K9K2,0.0625,0.0625,False,-0.0761106904768148,0.0100456621004566,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::5GLF::ppi,1080,5GLF,ppi,CFTR,DERL1,P13569,B3KW41,0.0625,0.0625,False,-0.1462163543661254,0.05662100456621,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::116369::ppi,1080,116369,ppi,CFTR,SLC26A8,P13569,Q5JVR5,0.0625,0.0625,False,-0.0747224065987577,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::9276::ppi,2B6H,9276,ppi,ARF5,COPB2,P26437,B4DZI8,0.0625,0.0625,False,-2.1965740630578225,1.0,True,False,no_drug_target_evidence
