edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_target_support,drug_target_source_support,drug_target_either_endpoint,target_pathway_count,target_top_pathway
2.1.1.320::4701::ppi,0.34375,0.28125,0.4375,0.15625,,2.1.1.320,4701,ppi,NDUFAF7,NDUFA7,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
2B6H::1HUR::ppi,0.34375,0.25,0.375,0.125,,2B6H,1HUR,ppi,ARF5,ARF1,,,False,False,False,False,39,Adaptive Immune System
2.1.1.320::51079::ppi,0.34375,0.28125,0.40625,0.125,,2.1.1.320,51079,ppi,NDUFAF7,NDUFA13,,,False,False,False,False,6,Aerobic respiration and respiratory electron transport
1N1A::23239::ppi,0.34375,0.28125,0.375,0.09375,,1N1A,23239,ppi,FKBP4,PHLPP1,,,False,False,False,False,4,Intracellular signaling by second messengers
2B6H::2D1X::ppi,0.34375,0.3125,0.40625,0.09375,,2B6H,2D1X,ppi,ARF5,CTTN,,,False,False,False,False,8,Clathrin-mediated endocytosis
1N1A::1HDJ::ppi,0.34375,0.3125,0.40625,0.09375,,1N1A,1HDJ,ppi,FKBP4,DNAJB1,,,False,False,False,False,10,Attenuation phase
1N1A::1BYQ::ppi,0.34375,0.28125,0.375,0.09375,,1N1A,1BYQ,ppi,FKBP4,HSP90AA1,,,False,True,False,True,119,AURKA Activation by TPX2
1N1A::3306::ppi,0.34375,0.3125,0.40625,0.09375,,1N1A,3306,ppi,FKBP4,HSPA2,,,False,False,False,False,16,Antimicrobial mechanism of IFN-stimulated genes
1080::5172::ppi,0.34375,0.3125,0.40625,0.09375,,1080,5172,ppi,CFTR,SLC26A4,,,False,False,True,True,8,Defective SLC26A4 causes Pendred syndrome (PDS)
1080::5'-AMP-activated protein kinase subunit gamma-3::ppi,0.34375,0.3125,0.40625,0.09375,,1080,5'-AMP-activated protein kinase subunit gamma-3,ppi,CFTR,PRKAG3,,,False,False,True,True,33,AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)
1080::2EEI::ppi,0.34375,0.3125,0.40625,0.09375,,1080,2EEI,ppi,CFTR,PDZK1,,,False,False,True,True,0,
1ZRH::26035::ppi,0.34375,0.34375,0.4375,0.09375,,1ZRH,26035,ppi,HS3ST1,GLCE,,,False,False,False,False,5,Glycosaminoglycan metabolism
1.14.13.-::1.14.14.1::ppi,0.34375,0.34375,0.4375,0.09375,,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,,,False,False,False,False,11,Arachidonate metabolism
2.1.1.320::25880::ppi,0.34375,0.28125,0.375,0.09375,,2.1.1.320,25880,ppi,NDUFAF7,TMEM186,,,False,False,False,False,4,Aerobic respiration and respiratory electron transport
1N1A::1M2Z::ppi,0.34375,0.28125,0.375,0.09375,,1N1A,1M2Z,ppi,FKBP4,NR3C1,,,False,True,False,True,28,Cellular responses to stimuli
2.1.1.320::1.3.8.-::ppi,0.34375,0.28125,0.34375,0.0625,,2.1.1.320,1.3.8.-,ppi,NDUFAF7,ACAD11,,,False,False,False,False,4,Fatty acid metabolism
1N1A::2QAB::ppi,0.34375,0.28125,0.34375,0.0625,,1N1A,2QAB,ppi,FKBP4,ESR1,,,False,True,False,True,43,Cellular responses to stimuli
1N1A::10540::ppi,0.34375,0.3125,0.375,0.0625,,1N1A,10540,ppi,FKBP4,DCTN2,,,False,False,False,False,34,AURKA Activation by TPX2
1N1A::2LDU::ppi,0.34375,0.34375,0.40625,0.0625,,1N1A,2LDU,ppi,FKBP4,HSF1,,,False,False,False,False,12,Aggrephagy
2B6H::1I49::ppi,0.34375,0.34375,0.40625,0.0625,,2B6H,1I49,ppi,ARF5,ARFIP2,,,False,False,False,False,4,Intra-Golgi and retrograde Golgi-to-ER traffic
