feature_gene,uniprot_id,tier,source,has_esm2_embedding
A1BG,P04217,1,HGNC_symbol,False
A1BG-AS1,,0,unmapped,False
A1CF,Q9NQ94,1,HGNC_symbol,False
A2M,P01023,1,HGNC_symbol,False
A2M-AS1,,0,unmapped,False
A2ML1,A8K2U0,1,HGNC_symbol,False
A3GALT2,U3KPV4,1,HGNC_symbol,True
A4GALT,Q9NPC4,1,HGNC_symbol,False
A4GNT,Q9UNA3,1,HGNC_symbol,True
AAAS,Q9NRG9,1,HGNC_symbol,True
AACS,Q86V21,1,HGNC_symbol,True
AADAC,P22760,1,HGNC_symbol,True
AADACL2,Q6P093,1,HGNC_symbol,True
AADACL3,Q5VUY0,1,HGNC_symbol,False
AADACL4,Q5VUY2,1,HGNC_symbol,False
AADAT,Q8N5Z0,1,HGNC_symbol,False
AAED1,195827,5,STRING_alias,False
AAGAB,Q6PD74,1,HGNC_symbol,False
AAK1,Q2M2I8,1,HGNC_symbol,True
AAMDC,Q9H7C9,1,HGNC_symbol,False
AAMP,Q13685,1,HGNC_symbol,False
AANAT,Q16613,1,HGNC_symbol,True
AAR2,Q9Y312,1,HGNC_symbol,False
AARD,Q4LEZ3,1,HGNC_symbol,False
AARS,16,5,STRING_alias,False
AARS1,P49588,1,HGNC_symbol,True
AARS2,Q5JTZ9,1,HGNC_symbol,True
AARSD1,Q9BTE6,1,HGNC_symbol,True
AASDH,Q4L235,1,HGNC_symbol,False
AASDHPPT,Q9NRN7,1,HGNC_symbol,True
AASS,Q9UDR5,1,HGNC_symbol,False
AATF,Q9NY61,1,HGNC_symbol,True
AATK,Q6ZMQ8,1,HGNC_symbol,False
AB019441.29,,0,unmapped,False
ABAT,P80404,1,HGNC_symbol,False
ABC7-42389800N19.1,,0,unmapped,False
ABCA1,O95477,1,HGNC_symbol,False
ABCA10,Q8WWZ4,1,HGNC_symbol,False
ABCA11P,,0,unmapped,False
ABCA12,Q86UK0,1,HGNC_symbol,False
ABCA13,Q86UQ4,1,HGNC_symbol,False
ABCA17P,,0,unmapped,False
ABCA2,Q9BZC7,1,HGNC_symbol,False
ABCA3,Q99758,1,HGNC_symbol,False
ABCA4,P78363,1,HGNC_symbol,False
ABCA5,Q8WWZ7,1,HGNC_symbol,False
ABCA6,Q8N139,1,HGNC_symbol,False
ABCA7,Q8IZY2,1,HGNC_symbol,False
ABCA8,O94911,1,HGNC_symbol,False
ABCA9,Q8IUA7,1,HGNC_symbol,False
ABCB1,P08183,1,HGNC_symbol,False
ABCB10,Q9NRK6,1,HGNC_symbol,True
ABCB10P4,,0,unmapped,False
ABCB11,O95342,1,HGNC_symbol,False
ABCB4,P21439,1,HGNC_symbol,False
ABCB5,Q2M3G0,1,HGNC_symbol,False
ABCB6,Q9NP58,1,HGNC_symbol,False
ABCB7,O75027,1,HGNC_symbol,False
ABCB8,Q9NUT2,1,HGNC_symbol,True
ABCB9,Q9NP78,1,HGNC_symbol,False
ABCC1,P33527,1,HGNC_symbol,False
ABCC10,Q5T3U5,1,HGNC_symbol,False
ABCC11,Q96J66,1,HGNC_symbol,False
ABCC12,Q96J65,1,HGNC_symbol,False
ABCC13,,0,unmapped,False
ABCC2,Q92887,1,HGNC_symbol,False
ABCC3,O15438,1,HGNC_symbol,False
ABCC4,O15439,1,HGNC_symbol,False
ABCC5,O15440,1,HGNC_symbol,False
ABCC6,O95255,1,HGNC_symbol,False
ABCC6P1,,0,unmapped,False
ABCC8,Q09428,1,HGNC_symbol,False
ABCC9,O60706,1,HGNC_symbol,False
ABCD1,P33897,1,HGNC_symbol,False
ABCD2,Q9UBJ2,1,HGNC_symbol,True
ABCD3,P28288,1,HGNC_symbol,False
ABCD4,O14678,1,HGNC_symbol,False
ABCE1,P61221,1,HGNC_symbol,False
ABCF1,Q8NE71,1,HGNC_symbol,False
ABCF2,Q9UG63,1,HGNC_symbol,False
ABCF2P1,,0,unmapped,False
ABCF3,Q9NUQ8,1,HGNC_symbol,True
ABCG1,P45844,1,HGNC_symbol,True
ABCG2,Q9UNQ0,1,HGNC_symbol,True
ABCG4,Q9H172,1,HGNC_symbol,False
ABCG5,Q9H222,1,HGNC_symbol,False
ABCG8,Q9H221,1,HGNC_symbol,False
ABHD1,Q96SE0,1,HGNC_symbol,True
ABHD10,Q9NUJ1,1,HGNC_symbol,True
ABHD11,Q8NFV4,1,HGNC_symbol,False
ABHD12,Q8N2K0,1,HGNC_symbol,False
ABHD12B,Q7Z5M8,1,HGNC_symbol,True
ABHD13,Q7L211,1,HGNC_symbol,True
ABHD14A,Q9BUJ0,1,HGNC_symbol,False
ABHD14B,Q96IU4,1,HGNC_symbol,True
ABHD15,Q6UXT9,1,HGNC_symbol,False
ABHD16A,O95870,1,HGNC_symbol,False
ABHD16B,Q9H3Z7,1,HGNC_symbol,False
