cell_idx,predicted_mechanism,confidence,prob_drug_efflux,prob_clonal_evolution,prob_immune_escape,prob_microenvironmental
0,immune_escape,0.27033433,0.24906188,0.23576729,0.27033433,0.2448365
1,immune_escape,0.27129126,0.2493224,0.23470414,0.27129126,0.24468225
2,immune_escape,0.27141947,0.24901596,0.23483275,0.27141947,0.24473181
3,immune_escape,0.2693871,0.24792361,0.23850232,0.2693871,0.24418697
4,immune_escape,0.27011308,0.24910592,0.23590778,0.27011308,0.24487326
5,immune_escape,0.27127805,0.24938063,0.234657,0.27127805,0.24468432
6,immune_escape,0.27136427,0.24902974,0.23486239,0.27136427,0.24474357
7,immune_escape,0.27121523,0.2493479,0.23475063,0.27121523,0.24468629
8,immune_escape,0.2712604,0.24933977,0.23471577,0.2712604,0.244684
9,immune_escape,0.2712456,0.24935706,0.23471244,0.2712456,0.24468486
10,immune_escape,0.2712513,0.24934442,0.23471987,0.2712513,0.24468447
11,immune_escape,0.27023596,0.24908125,0.2358307,0.27023596,0.24485211
12,immune_escape,0.2713195,0.24933462,0.2346647,0.2713195,0.24468115
13,immune_escape,0.269014,0.2501339,0.23531076,0.269014,0.24554135
14,immune_escape,0.27062917,0.25021154,0.23402739,0.27062917,0.24513188
15,immune_escape,0.26636818,0.2493144,0.23858851,0.26636818,0.24572903
16,immune_escape,0.27137512,0.24931483,0.23462823,0.27137512,0.2446818
17,immune_escape,0.27108905,0.24937263,0.23484443,0.27108905,0.24469385
18,immune_escape,0.27073228,0.24902567,0.23551922,0.27073228,0.24472286
19,immune_escape,0.27014562,0.24910161,0.23588762,0.27014562,0.24486512
20,immune_escape,0.27011222,0.24910642,0.23590839,0.27011222,0.24487291
21,immune_escape,0.27031177,0.24906628,0.23578195,0.27031177,0.24484003
22,immune_escape,0.27121904,0.24927121,0.23482111,0.27121904,0.24468859
23,immune_escape,0.27101448,0.24947429,0.23472965,0.27101448,0.24478164
24,immune_escape,0.2714172,0.24901652,0.23483396,0.2714172,0.24473229
25,immune_escape,0.27010044,0.2491082,0.23591538,0.27010044,0.24487592
26,immune_escape,0.27194872,0.24918452,0.23419167,0.27194872,0.24467504
27,immune_escape,0.27139273,0.24940526,0.2345227,0.27139273,0.24467927
28,immune_escape,0.27114925,0.24937922,0.23478177,0.27114925,0.24468976
29,immune_escape,0.27111548,0.24938941,0.23480354,0.27111548,0.24469155
30,immune_escape,0.27019635,0.24908862,0.23585583,0.27019635,0.24485922
31,immune_escape,0.2713714,0.24902794,0.23485857,0.2713714,0.24474204
32,immune_escape,0.27122495,0.24941432,0.23467411,0.27122495,0.24468657
33,immune_escape,0.27114916,0.24940254,0.23475844,0.27114916,0.24468976
34,immune_escape,0.2712824,0.24931315,0.23472199,0.2712824,0.24468249
35,immune_escape,0.27133068,0.24931252,0.23467669,0.27133068,0.24468012
36,immune_escape,0.27136883,0.24902861,0.23485996,0.27136883,0.24474262
37,immune_escape,0.27032205,0.2490643,0.23577525,0.27032205,0.24483837
38,immune_escape,0.27069718,0.24902897,0.23555061,0.27069718,0.24472328
39,immune_escape,0.2702077,0.24908808,0.23584849,0.2702077,0.2448557
40,immune_escape,0.2701239,0.24910317,0.23590094,0.2701239,0.24487199
41,immune_escape,0.27130884,0.24931744,0.23469248,0.27130884,0.24468128
